| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| خێرخواز | وەسف (هەڤالناڤ) | ئەو کەسێ کو حەز ژ باشیێ دکەت و هاریکارییا خەلکی دکەت بێ بەرامبەر. |
| خێزان | خێزان | ئەو کۆما ژ باب و دایک و زارۆکان پێک دهێت. |
| خێڤزانک | وەسف (هەڤالناڤ) | کەسێ کو پێزانینێن وی گەلەک بن، یان هەردەم ل پێزانینان دگەڕیێت. |
| خێل | خێزان | کۆمەکا گەلەک مەزن ژ خەلکێ کو گرێدایی ئێك بن. |
| داخستن | کار (چاوگ) | گرتنا دەرگەهی یان پەنجەرێ. |
| داخ | هەست | خەمەکا گەلەک دژوار د دلێ مرۆڤی دا، یان برینەکا ب ئاگر هاتییە کرن. |
| داخبار | وەسف (هەڤالناڤ) | کەسە یێ کو ژ ئەنجامێ کارەکێ یان بویەرەکێ کاریگەر بووی . |
| داد | پەیڤێن گشتی | دادپەروەری، ڕاستی، و وەرگرتنا مافێ خوە. |
| دادڤان | پیشە | ئەو کەسێ چاڤدێرییا یاریێن وەرزشی دکەت و بڕیاران ددەت . |
| دادمەند | وەسف (هەڤالناڤ) | کەسێ کو ڕاست و دادپەروەرە د کارێ خوە دا. |
| دار | ڕووەک | ڕووەکێ مەزنە کو ژ قورم، چق و بەلگان پێک دهێت. |
| دارڤان | پیشە | کەسێ کو کارێ بڕین و ڤەگوهاستنا داران دکەت. |
| دارگران | وەسف (هەڤالناڤ) | ئەو کەسێ بێزارکەرە؛ یێ کو نەشێت دگەل خەلکی بگونجیت . |
| داستان | پەیڤێن گشتی | چیڕۆکەکا درێژ و قارەمانانە کو ل سەر شەڕ و سەرکەفتنان دهێتە گۆتن. |
| داسک | ئامیرە | ئامیرەکێ بچویکە کو بۆ دروینا گیای و گەنمی دهێتە بکارئینان. |
| داڤ | کەلوپەل | دەزییەکێ زراڤە کو بۆ چێکرنا تۆر یان خەفکان دهێتە بکارئینان. |
| داڤین | ناڤێ مرۆڤان | ناڤەکێ کوردی یێ کچانە ئاماژەیە بۆ نازکی و جوانیێ. |
| داقوتان | کار (چاوگ) | ڕاوەشاندن و لێدانا تشتەکێ بۆ پاقژکرنێ. |
| داگرتن | کار (چاوگ) | تژیکرنا ئامانەکی. |
| دان | دەم | دەم، وەخت. |
| دانان | کار (چاوگ) | هەلگرتن و پاراستنا تشتەکی ل جهەکی دیارکری. |
| دانقوت | خوارن | گەنمێ قوتای و ئامادەکری یە بۆ خوارنێ. |
| دانھێر | خوارن | ئەو دانێ گەنمی یێ کو هاتیە کوتان و ئامادەکرن بۆ خوارنێ . |
| دانیک | خوارن | گەنمێ کەلاندی و حشککری. |
| دانین | کار (چاوگ) | دانانا تشتەکی ل سەر ئەردی یان ل جهەکی. |
| داھات | ئابووری | ئەو پارە یان قازانجێ کو ژ کارەکی یان ژێدەرەکی ب دەست مرۆڤی دکەڤیت. |
| دانوستاندن | کار (چاوگ) | ئاخفتن و گەنگەشەکرنا دوو کەسان یان پتر ل سەر بابەتەکی. |
| داوەت | پەیڤێن گشتی | شەهیانا کوڕ و کچەکێ کو خەلک تێدا کۆم دبن و دیلانێ دکەن. |
| داوەشاندن | کار (چاوگ) | هەژاندن و پاقژکرنا مەحفیرێ یان جلوبەرگان داکو تەپ و تۆز ژێ ب چیت . |
| دراڤ | ئابووری | پارە، ئەو کاغەز یان ئاسنێ کو بۆ کڕینا تشتان دهێتە بکارئینان. |
| دڕاندن | کار (چاوگ) | قەتکرن و پارچەکرنا قوماشی یان کاغەزێ. |
| دڕندە | گیانەوەر | گیانەوەرێ کێڤی یێ گۆشتخوەر کو مەترسیێ دێخیتە سەر مرۆڤی و گیانەوەرێن دی. |
| دڕیان | کار (چاوگ) | دەمێ قوماش یان کاغەز قەت دبیت. |
| درەنگی | دەم | دەمەکێ درەنگە ژ شەڤێ یان ژ کارەکی پاشکەفتی. |
| درەو | پەیوەندی | ئاخفتنەکا نەڕاست کو بۆ خاپاندنا خەلکی دهێتە گۆتن. |
| درێژبوون | کار (چاوگ) | زێدەبوونا درێژاهییا تشتەکی ب دەربازبوونا دەمی. |
| دزی | پەیڤێن گشتی | برنا مال و کەلوپەلێن خەلکی بێ ڕەزامەندییا وان. |
| دژ | پەیڤێن گشتی | کەسێ کو ل هەمبەر تە ڕاوەستیت و نە یێ د گەل تە دا بیت. |
| دوژمن | پەیڤێن گشتی | ئەو کەسێ کو دژی تە یە و حەزا خرابیێ بۆ تە هەیە. |
| دژوار | وەسف (هەڤالناڤ) | تشتێ کو ب زەحمەت و گران بیت یان توند و ب هێز بیت. |
| دستار | ئامیرە | ئامیرەکێ کەڤن یێ ژ بەران هاتییە چێکرن بۆ هویرکرنا گەنمی ب دەستی. |
| دفن | ئەندامێ لەشی | ئەو ئەندامێ لەشی یە کو مرۆڤ پێ بێهنێ دکێشیت. |
| دلبرین | ناڤێ مرۆڤان | کەسێ کو خەمەکا کویر د دلی دا هەبیت. |
| دلبۆرین | هەست | ژدەستدانا هۆشی و گێژبوون و بێهێزی . |
| دلبەر | ناڤێ مرۆڤان | کەسێ کو گەلەک جوانە و دلێ مرۆڤی دڤێت. |
| دلپاقژ | وەسف (هەڤالناڤ) | کەسێ کو حەزا خرابیێ بۆ کەسێ نەکەت و یێ بێ تاوان و سادە بیت. |
| دلپیس | وەسف (هەڤالناڤ) | کەسێ کو گومانێن خراب ژ خەلکی دبەت یان حەسیدیێ دکەت. |
| دلتەنگ | وەسف (هەڤالناڤ) | کەسێ کو بێ کەیف و خەمگینە. |
| دلخاز | ناڤێ مرۆڤان | کەس یان تشتێ کو مرۆڤ حەز ژێ دکەت. |
| دلساخ | وەسف (هەڤالناڤ) | کەسێ کو ئێش و دەرد تێدا نەبن، یان کەسێ دلسۆز بۆ هەڤالێن خوە. |
| دلشاد | ناڤێ مرۆڤان | کەسێ کو ب کەیف بیت. |
| دلشێر | ناڤێ مرۆڤان | کەسێ ئازا و نەترس. |
| دلگەش | ناڤێ مرۆڤان | کەسێ کو دیمەنێ وی یێ گەش و ب کەیفە. |
| دلمان | هەست | زیزبوون  ژ کەسەکی ژ بەر ئاخفتنەکێ یان کریارەکێ. |
| دلمان | ناڤێ مرۆڤان | قەهرین ژ مرۆڤەکێ  ژبەر ئاخفتنەکێ یان کریارەکا کەسەکێ دی . |
| دلنەدان | کار (چاوگ) | کردارا ڕەزیلیێ؛ نەدان یان بکارنەهینانا تشتەکێیە. |
| دلۆڤان | ناڤێ مرۆڤان | کەسێ کو ب ڕەحمە و دلوڤانیێ ب خەلکی دبەت. |
| دلۆپ | پەیڤێن گشتی | پارچەیەکا گەلەک بچویک ژ ئاڤێ یە. |
| دندک | چەرەزات | تۆڤێ هیر یێ فێقییان یان نیسک و برنجی. |
| دهۆل | ئامیرە | ئامیرەکێ مۆسیقایێ یە ژ دار و پیستی دهێتە چێکرن. |
| دروین | کار (چاوگ) | بڕین و کۆمکرنا دەخل و دانی ب داسێ یان ئامیران. |
| دروین | کار (چاوگ) | پێکڤەگرێدان و دروستکرنا جلوبەرگان یان قوماشی. |
| دوهی | دەم | ڕۆژا بەری ئەڤرۆ. |
| دوودل | وەسف (هەڤالناڤ) | کەسێ کو نەشێت بڕیارەکێ بدەت و گومان د دلێ وی دا هەبیت. |
| دۆژەھ | جھ | جهێ سزادانا گوننەهکاران د ئاخارەتێ دا. |
| دویر | وەسف (هەڤالناڤ) | تشتێ کو مەودایەکێ زۆر د ناڤبەرێدا هەبیت. |
| دیربین | ئامیرە | ئامیرەکە بۆ دیتنا تشتێن دویر دهێتە بکارئینان. |
| دویکێل | سرۆشت | ژ ئەنجامێ هەلبوونا ئاگری پەیدا دبیت. |
| دۆتمام | خێزان | کچا مامێ مرۆڤی یە. |
| دۆتن | کار (چاوگ) | دەرئێخستن و کێشانا شیرێ گیانەوەران. |
| دۆر | پەیڤێن گشتی | ئەو جهێ ل ڕەخ و تەنشتێن تشتەکی. |
| دۆز | پەیڤێن گشتی | بابەتەکێ گرنگ کو خەبات بۆ دهێتەکرن. |
| دۆست | پەیڤێن گشتی | هەڤالێ نێزیک، کەسێ کو مرۆڤ حەز ژێ دکەت. |
| دۆشاڤ | خوارن | خوارنەکا شیرینە کو ژ تری یان خورمێ دهێتە چێکرن. |
| دۆشەک | کەلوپەل | ڕایەخەکێ ستویرە بۆ نڤستنێ یان ڕوونشتنێ ل سەر ئەردی دهێتە ڕاخستن. |
| دۆل | سرۆشت | جهەکێ کویر د ناڤبەرا دوو چیا یان گرێن بلند دا. |
| دۆلک | کەلوپەل | ئامانەکە بۆ تێکرن و هەلگرتنا ئاڤێ دهێتە بکارئینان. |
| دەحل | سرۆشت | جهەکێ تژی دار و بار. |
| دەرازینک | جھ | ئەو جهێ ل پێشیا دەرگەهێ مالێ. |
| دەرامەت | پەیڤێن گشتی | ئەو بەرهەم یان قازانجێ ژ چاندنێ یان کارەکی ب دەست دهێت. |
| دەرئێخستن | کار (چاوگ) | هاڤێتن یان دەرکرنا کەسەکی یان تشتەکی. |
| دەرباسبوون | کار (چاوگ) |چوون د ناڤ جهەکی یان دەمەکی دا. |
| دەرباسکرن | کار (چاوگ) | بڕینا جهەکی یان دەمەکی. |
| دەرپۆش | کەلوپەل | ئەو تشتێ کو سەرێ ئامانان پێ دهێتە گرتن. |
| دەرپێ | جلوبەرگ | ئەو جلکێ کو د بن پانتەڕۆن یان شەلوالی دا دهێتە لبەرخوەکرن. |
| دەرچک | جھ | ئەو تشتێ کو بۆ سەرکەفتن بەرەڤ جهەکێ بڵندتر یان داکەفتنێ دهێتە بکارئینان. |
| دەرز | پەیڤێن گشتی | قەلش یان درزەک کو د دیوار یان تشتەکی دا پەیدا دبیت. |
| دەرزی | کەلوپەل | پارچەیەکا زراڤا ئاسنی یە کو بۆ دروینا جلکان دهێتە بکارئینان. |
| دەرزین | کار (چاوگ) | شەقبوونا د ناڤ هەستی یان دیواران دا. |
| دەرزاندن | کار (چاوگ) | شەقکرن، یان قەلشاندنا تشتەکێ ب دەستێ کەسەکی یان ئەگەرەکێ دەرەکی. |
| دەرفەت | پەیڤێن گشتی | دەم یان هەلەکا گونجای بۆ ئەنجامدانا کارەکی. |
| دەرڤە | جھ | جهێ دەرڤەی مالێ یان دەرڤەی تشتەکی؛ بەرامبەر ژۆرڤە. |
| دەرکەتن | کار (چاوگ) | چوون بۆ دەرڤەی جهەکی. |
| دەرکەفتن | کار (چاوگ) | چوونە دەرڤە ژ جهەکی، یان ئاشکرابوون. |
| دەرگەڤان | پیشە | کەسێ کو پاراستن و پاسەوانییا دەرگەهی دکەت. |
| دەرەجک | کەلوپەل | ئامرازێ سەرکەڤتنێ بۆ گەهشتن ب جهێن بلند د مالێ دا. |
| دەزگەھ | پەیڤێن گشتی | دامەزراوە یان سازیەک کو کارەکێ تایبەت ب ڕێڤە دبەت. |
| دەزگر | خێزان | کەسێ کو پەیمانا هەڤژینیێ دایە لێ هێشتا نەهاتیە ڤەگوهاستن. |
| دەزی | کەلوپەل | تایەکێ زراڤە د ناڤ دەرزیێ ڕا دچیت. |
| دەستژێبەردان | کار (چاوگ) | وازلێئینان، هێلان، یان دەست هەلگرتن ژ کارەکی یان تشتەکی . |
| دەستپێک | پەیڤێن گشتی | سەرەتایا هەر کار یان تشتەکی. |
| دەستک | کەلوپەل | ئەو پارچەیا ب ئامان یان کەلوپەلەکێ ڤە بۆ گرتنێ. |
| دەستکەفت | پەیڤێن گشتی | ئەو تشت یان سەرکەفتنا کو مرۆڤی ب دەستڤە ئینای. |
| دەستگران | خێزان | کەسێ تەمبەل و خاڤ د کارکرنێ دا، یان ئەو کەسێ کار ب باشی و سڤکی ژ دەستی ناهێت. . |
| دەستدرێژ | وەسف (هەڤالناڤ) | کەسێ کو زێدەگاڤیێ دکەت یان دەستێ خوە بۆ تشتێ خەلکی درێژ دکەت. |
| دەستیر | پەیڤێن گشتی | مۆلەت و ڕێدان بۆ کارەکی. |
| دەستەسەر | کار (چاوگ) | گرتن و ڕاگرتنا کەسەکی یان تشتەکی ل بن کۆنتڕۆلێ. |
| دەستگۆرک | کەلوپەل | ئەو تشتێ دکەنە د دەستی دا بۆ پاراستن ژ سەرمایێ یان پیسیێ. |
| دەعبا | گیانەوەر | گیانەوەر، ب تایبەت یێن کێڤی و مەترسیدار. |
| دەغەل | خوارن | گەنم، جەهـ و بەرهەمێن دی یێن چاندنێ. |
| دەڤک | کەلوپەل | ئەو کەرەستەیێ بۆ تراشینێ دهێتە بکارئینان . |
| دەڤەر | جھ | ناوچە یان جهەکێ دیارکری ژ باژێڕ یان وەلاتی. |
| دەق | پەیڤێن گشتی | نڤیسین یان بابەتەکێ نڤیسای. |
| دەق | پەیڤێن گشتی | ئەو نیشان یان نەخشەیە ل سەر پیستێ مرۆڤی دهێتە چێکرن . |
| دەلال | پیشە | ئەو کەسێ کو د ناڤبەرا کڕیار و فرۆشیاری دا کار دکەت. |
| دەلاڤ | کەلوپەل | جهێ ئاڤ ڤەخوارنا گیانەوەران. |
| دەلنگ | جلوبەرگ | لێڤا خوارێ یا پانتەڕۆن یان شەلوالی. |
| دەلیڤە | پەیڤێن گشتی | دەرفەت یان کاتەکێ گونجای بۆ ئەنجامدانا کارەکی. |
| دەم | دەم | وەخت و کاتێ ئەنجامدانا کارەکی. |
| دەمدەمی | وەسف (هەڤالناڤ) | کەس یان تشتێ کو نەجێگیرە و زوی دهێتە گوهۆڕین. |
| دەن | خوارن | ئامانەکێ مەزن یا کو بەرێ پتر بۆ هەلگرتن و سارکرنا ئاڤێ دهاتە بکارئینان . |
| دەنگ | پەیڤێن گشتی | ئەو پێلێن کو مرۆڤ ب ڕێیا گوهی دبەهیسیت یان پێ دئاخڤیت. |
| دەنگدان | کار (چاوگ) | هەلبژارتن و دانا دەنگی بۆ کەسەکێ. |
| دەنگڤەدان | پەیوەندی | ڤەگەڕیانا دەنگی، یان بەلاڤبوونا نووچەیەکێ ب بەرفرەهی. |
| دەھ | ژمارە | ژمارە د ناڤبەرا پێنج تا پازدە. |
| دەو | خوارن | ڤەخوارنەکا سارە کو ژ ماست و ئاڤێ دهێتە چێکرن. |
| دەوار | گیانەوەر | ئاژەلێن مالێ یێن بارکێش وەک هێستر و کەر و هەسپ. |
| دەوساندن | کار (چاوگ) | پێلێکرنا تشتەکی. |
| دەولەت | پەیڤێن گشتی | قەوارەیەکێ سیاسی یە کو ب سەر وەلاتی و خەلکی دا حوکم دکەت. |
| دەوین | خوارن | جورەکێ خوارنا کوردەواری یە ژ ساڤار و دەوی دهێتە چێکرن. |
| دەیباب | خێزان | دایک و باب پێکڤە. |
| دەیک | خێزان | ئەو ئافرەتا کو زارۆک دبن. |
| دەین | ئابووری | ئەو پارە یان تشتێ کو ژ کەسەکی دهێتە وەرگرتن و دڤێت ل دەمەکێ دیارکری بهێتە ڤەگەڕاندن. |
| دیار | ناڤێ مرۆڤان | تشتێ کو بەرچاڤ بیت و بهێتە دیتن، ئاشکرا. |
| دەیندار | ئابووری | ئەو کەسێ کو پارەیێ خەلکی لێ بیت. |
| دیاری | پەیڤێن گشتی | ئەو تشتێ کو وەک ڕێزگرتن و حەژێکرنێ ددەنە کەسەکی. |
